
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2968           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49742          0.0.0.0:0              LISTENING
  TCP    10.0.75.1:139          0.0.0.0:0              LISTENING
  TCP    10.0.75.1:445          10.0.75.2:59734        ESTABLISHED
  TCP    127.0.0.1:44000        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:44001        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:60351        127.0.0.1:60352        ESTABLISHED
  TCP    127.0.0.1:60352        127.0.0.1:60351        ESTABLISHED
  TCP    127.0.0.1:60353        127.0.0.1:60354        ESTABLISHED
  TCP    127.0.0.1:60354        127.0.0.1:60353        ESTABLISHED
  TCP    127.0.0.1:60355        127.0.0.1:60356        ESTABLISHED
  TCP    127.0.0.1:60356        127.0.0.1:60355        ESTABLISHED
  TCP    127.0.0.1:60358        127.0.0.1:60359        ESTABLISHED
  TCP    127.0.0.1:60359        127.0.0.1:60358        ESTABLISHED
  TCP    127.0.0.1:60360        127.0.0.1:60361        ESTABLISHED
  TCP    127.0.0.1:60361        127.0.0.1:60360        ESTABLISHED
  TCP    127.0.0.1:60362        127.0.0.1:60363        ESTABLISHED
  TCP    127.0.0.1:60363        127.0.0.1:60362        ESTABLISHED
  TCP    192.168.1.33:139       0.0.0.0:0              LISTENING
  TCP    192.168.1.33:60280     13.92.210.230:443      ESTABLISHED
  TCP    192.168.1.33:60281     13.92.210.230:443      ESTABLISHED
  TCP    192.168.1.33:60343     13.92.209.232:443      ESTABLISHED
  TCP    192.168.1.33:60377     130.211.158.196:443    ESTABLISHED
  TCP    192.168.1.33:60398     216.58.201.165:443     ESTABLISHED
  TCP    192.168.1.33:60508     64.233.167.189:443     ESTABLISHED
  TCP    192.168.1.33:60631     54.164.22.58:443       ESTABLISHED
  TCP    192.168.1.33:60637     162.247.242.20:443     ESTABLISHED
  TCP    192.168.1.33:60650     52.89.228.199:443      ESTABLISHED
  TCP    192.168.1.33:60694     192.30.253.125:443     ESTABLISHED
  TCP    192.168.1.33:60860     54.171.183.62:443      ESTABLISHED
  TCP    192.168.1.33:60924     192.30.253.125:443     ESTABLISHED
  TCP    192.168.1.33:60952     192.30.253.125:443     ESTABLISHED
  TCP    192.168.1.33:61087     84.53.132.72:80        TIME_WAIT
  TCP    192.168.1.33:61088     92.122.72.233:80       TIME_WAIT
  TCP    192.168.1.33:61096     92.122.45.168:443      CLOSE_WAIT
  TCP    192.168.1.33:61100     216.58.214.174:443     ESTABLISHED
  TCP    192.168.1.33:61116     216.58.201.132:443     ESTABLISHED
  TCP    192.168.1.33:61117     13.33.234.238:443      TIME_WAIT
  TCP    192.168.1.33:61118     172.217.168.163:443    ESTABLISHED
  TCP    192.168.1.33:61130     151.101.1.195:443      ESTABLISHED
  TCP    192.168.1.33:61131     185.43.181.16:80       TIME_WAIT
  TCP    192.168.1.33:61136     93.184.220.29:80       TIME_WAIT
  TCP    192.168.1.33:61139     216.58.214.168:443     TIME_WAIT
  TCP    192.168.1.33:61140     216.58.201.138:443     TIME_WAIT
  TCP    192.168.1.33:61143     104.17.234.204:443     TIME_WAIT
  TCP    192.168.1.33:61144     104.17.236.204:443     ESTABLISHED
  TCP    192.168.1.33:61145     104.17.130.171:443     TIME_WAIT
  TCP    192.168.1.33:61146     104.17.68.176:443      TIME_WAIT
  TCP    192.168.1.33:61148     104.16.253.5:443       ESTABLISHED
  TCP    192.168.1.33:61149     104.16.252.5:443       ESTABLISHED
  TCP    192.168.1.33:61151     104.16.249.5:443       ESTABLISHED
  TCP    192.168.1.33:61158     172.217.168.170:443    ESTABLISHED
  TCP    192.168.1.33:61160     104.17.210.204:443     ESTABLISHED
  TCP    192.168.1.33:61166     216.58.214.163:443     ESTABLISHED
  TCP    192.168.1.33:61168     172.217.168.162:443    ESTABLISHED
  TCP    192.168.1.33:61169     172.217.17.22:443      ESTABLISHED
  TCP    192.168.1.33:61170     172.217.168.166:443    ESTABLISHED
  TCP    192.168.1.33:61171     172.217.17.10:443      ESTABLISHED
  TCP    192.168.1.33:61173     172.217.168.165:443    ESTABLISHED
  TCP    192.168.1.33:61178     172.217.16.238:443     ESTABLISHED
  TCP    192.168.1.33:61181     172.217.168.174:80     ESTABLISHED
  TCP    192.168.1.33:61182     172.217.168.174:80     ESTABLISHED
  TCP    192.168.1.33:61191     172.217.16.238:443     ESTABLISHED
  TCP    192.168.1.33:61200     13.33.235.177:443      ESTABLISHED
  TCP    192.168.1.33:61247     52.34.107.172:443      ESTABLISHED
  TCP    192.168.1.33:61248     52.34.107.172:443      ESTABLISHED
  TCP    192.168.1.33:61251     172.217.168.162:443    ESTABLISHED
  TCP    192.168.1.33:61252     172.217.16.238:443     ESTABLISHED
  TCP    192.168.1.33:61255     151.101.134.15:443     ESTABLISHED
  TCP    192.168.1.33:61256     151.101.134.49:443     ESTABLISHED
  TCP    192.168.1.33:61257     151.101.132.134:443    ESTABLISHED
  TCP    192.168.1.33:61258     13.32.62.95:443        ESTABLISHED
  TCP    192.168.1.33:61259     216.58.211.34:443      ESTABLISHED
  TCP    192.168.1.33:61262     23.223.98.181:443      ESTABLISHED
  TCP    192.168.1.33:61265     13.32.62.86:443        ESTABLISHED
  TCP    192.168.1.33:61266     216.58.211.194:443     ESTABLISHED
  TCP    192.168.1.33:61267     84.53.132.50:80        ESTABLISHED
  TCP    192.168.1.33:61268     93.184.220.29:80       ESTABLISHED
  TCP    192.168.1.33:61269     130.211.29.114:443     ESTABLISHED
  TCP    192.168.1.33:61272     104.83.216.232:443     ESTABLISHED
  TCP    192.168.1.33:61273     216.58.214.162:443     ESTABLISHED
  TCP    192.168.1.33:61274     35.241.15.240:443      ESTABLISHED
  TCP    192.168.1.33:61277     72.247.212.197:443     ESTABLISHED
  TCP    192.168.1.33:61285     151.101.133.194:443    ESTABLISHED
  TCP    192.168.1.33:61291     216.58.201.129:443     TIME_WAIT
  TCP    192.168.1.33:61297     172.217.168.174:80     ESTABLISHED
  TCP    192.168.1.33:61298     172.217.168.174:80     ESTABLISHED
  TCP    192.168.1.33:61299     172.217.168.174:80     TIME_WAIT
  TCP    192.168.1.33:61301     18.196.151.57:443      ESTABLISHED
  TCP    192.168.1.33:61304     84.53.132.34:80        ESTABLISHED
  TCP    192.168.1.33:61306     93.184.220.29:80       ESTABLISHED
  TCP    192.168.1.33:61307     216.58.201.129:443     ESTABLISHED
  TCP    192.168.1.33:61308     13.32.62.84:443        ESTABLISHED
  TCP    192.168.1.33:61312     172.217.16.230:443     ESTABLISHED
  TCP    192.168.1.33:61315     173.241.240.17:443     TIME_WAIT
  TCP    192.168.1.33:61316     34.243.136.23:443      TIME_WAIT
  TCP    192.168.1.33:61317     35.186.236.204:443     ESTABLISHED
  TCP    192.168.1.33:61318     93.184.220.29:80       TIME_WAIT
  TCP    192.168.1.33:61319     93.184.220.29:80       ESTABLISHED
  TCP    192.168.1.33:61320     172.217.19.134:443     ESTABLISHED
  TCP    192.168.1.33:61323     77.238.185.35:443      ESTABLISHED
  TCP    192.168.1.33:61324     18.153.11.35:443       TIME_WAIT
  TCP    192.168.1.33:61325     46.228.164.11:443      TIME_WAIT
  TCP    192.168.1.33:61326     69.172.216.58:443      TIME_WAIT
  TCP    192.168.1.33:61328     216.58.201.141:443     ESTABLISHED
  TCP    192.168.1.33:61329     54.69.219.111:443      ESTABLISHED
  TCP    192.168.1.33:61330     52.28.244.199:443      ESTABLISHED
  TCP    192.168.1.33:61331     185.64.189.110:443     ESTABLISHED
  TCP    192.168.1.33:61332     185.64.189.110:443     ESTABLISHED
  TCP    192.168.1.33:61333     54.154.55.193:443      ESTABLISHED
  TCP    192.168.1.33:61334     13.32.62.99:443        ESTABLISHED
  TCP    192.168.1.33:61336     92.122.44.227:443      ESTABLISHED
  TCP    192.168.1.33:61339     173.241.240.17:443     TIME_WAIT
  TCP    192.168.1.33:61340     37.157.6.252:443       ESTABLISHED
  TCP    192.168.1.33:61341     66.155.71.189:443      TIME_WAIT
  TCP    192.168.1.33:61342     185.33.223.204:443     TIME_WAIT
  TCP    192.168.1.33:61343     104.155.76.175:443     ESTABLISHED
  TCP    192.168.1.33:61344     185.29.132.92:443      ESTABLISHED
  TCP    192.168.1.33:61345     54.76.37.66:443        ESTABLISHED
  TCP    192.168.1.33:61346     216.58.201.130:443     TIME_WAIT
  TCP    192.168.1.33:61347     93.184.220.51:443      ESTABLISHED
  TCP    192.168.1.33:61349     93.184.220.51:443      TIME_WAIT
  TCP    192.168.1.33:61351     185.64.189.114:443     ESTABLISHED
  TCP    192.168.1.33:61353     84.53.132.226:80       ESTABLISHED
  TCP    192.168.1.33:61355     66.155.71.179:443      TIME_WAIT
  TCP    192.168.1.33:61359     64.233.184.94:443      ESTABLISHED
  TCP    192.168.1.33:61365     13.32.62.27:443        ESTABLISHED
